Stops1,Stops2,Stops3,Stops4,Stops5,Stops6,Stops7,Stops8,Stops9,Stops10,Stops11,Stops12,Stops13,Stops14,Stops15,Stops16,Stops17,Stops18,Stops19,Stops20,Stops21,Stops22,Stops23,Stops24,Stops25,Stops26,Stops27,Stops28,Stops29,Stops30,Stops31,Stops32,Stops33,Stops34,Stops35,Stops36,Stops37,Stops38,Stops39,Stops40,Stops41,Stops42,Stops43,Stops44,Stops45,Stops46,Stops47,Stops48,Stops49,Stops50,Stops51,Stops52,Stops53,Stops54,Stops55,Stops56,Stops57,Stops58,Stops59,Stops60,Stops61,Stops62,Stops63,Stops64,Stops65,Stops66,Stops67,Stops68,Stops69,Stops70,Stops71,Stops72,Stops73,Stops74,Stops75,Stops76,Stops77,Stops78,Stops79,Stops80,Stops81,Stops82,Stops83,Stops84,Stops85,Stops86,Stops87,Stops88,Stops89,Stops90,Stops91,Stops92,Stops93,Stops94,Stops95,Stops96,Stops97,Stops98,Stops99,Stops100,Stops101,Stops102,Stops103,Stops104,Stops105,Stops106,Stops107,Stops108,Stops109,Stops110
"[14.571453225916432, 121.01408244714169],","[14.5721597197085,121.0124612197085],","[14.568426859224653, 121.02852661792453],","[14.563064189646248, 121.0371464356485],","[14.5681920197085,121.0149825197085],","[14.5673436197085,121.0166475197085],","[14.5647279697085,121.0169054197085],","[14.563064189646248, 121.0371464356485],","[14.5652860197085,121.0222173197085],","[14.5668506197085,121.0227792197085],","[14.5696301197085,121.0241915197085],","[14.5701384197085,121.0260659197085],","[14.5675771,121.0275024197085],","[14.566758265437278, 121.02947625165913],","[14.5662309197085,121.0312520197085],","[14.5653983197085,121.0353694197085],","[14.568426859224653, 121.02852661792453],","[14.568426859224653, 121.02852661792453],",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5661038697085,121.0444428197085],","[14.5611997197085,121.0443561197085],","[14.5601895,121.0450610697085],","[14.5590541,121.0443444697085],","[14.562978995786002, 121.03699834149063],","[14.5598986197085,121.0476948197085],","[14.563064189646248, 121.0371464356485],","[14.5549255197085,121.0530561197085],","[14.5413946,121.0449768],","[14.5413946,121.0449768],","[14.56259871970849,121.0529437697085],","[14.56259871970849,121.0529437697085],","[14.56259871970849,121.0529437697085],","[14.5335060197085,121.0394652197085],","[14.5303044697085,121.0395081697085],","[14.5177108,121.0406769],","[14.5177108,121.0406769],","[14.5177108,121.0406769]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.551673418879252, 121.03086531651793],","[14.551673418879252, 121.03086531651793],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5624642197085,121.0547309197085],","[14.5626220697085,121.0554966697085],","[14.5625986197085,121.0571924697085],","[14.5614463197085,121.0587692197085],","[14.5603055197085,121.0602220197085],","[14.5593803197085,121.0612946197085],","[14.5665727197085,121.0468542],","[14.5578883197085,121.0644860197085],","[14.5665727197085,121.0468542],","[14.5549029197085,121.0638583197085],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5447671197085,121.0634033197085],","[14.5430452697085,121.0653993]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.571598,121.0150484697085],","[14.5704129197085,121.0143919197085],","[14.5702152697085,121.0141412197085],","[14.5702152697085,121.0141412197085],","[14.5702152697085,121.0141412197085],","[14.5702152697085,121.0141412197085],","[14.5575000197085,121.0084758197085],","[14.55747866636792, 121.0069772239215],","[14.5541552197085,121.0008792197085],","[14.55436319999997,120.9987564],","[14.5489394197085,120.9967755197085],","[14.53763789999998,120.9953855]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5499642,121.0220422],","[14.5663986197085,121.0293078197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5466871197085,120.9993267197085],","[14.5476871197085,121.0029188197085],","[14.5490382197085,121.0060721197085],","[14.5471251,121.0127238],","[14.556633560140721, 121.01073494132176],","[14.553793718233834, 121.01269638574068],","[14.551573926353342, 121.01282374907721]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.55546,121.03518],","[14.55983,121.03067],","[14.56177,121.02734],","[14.56222,121.02259],","[14.56196,121.01990],","[14.56120,121.01464],","[14.55986,121.01148],","[14.55899,121.00978],",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5363326697085,121.0188977697085],","[14.5428971197085,121.0153056197085],","[14.552761004762626, 121.0137120192746],","[14.556631589275598, 121.01074213441709],","[14.5702490197085,121.0141941197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.55032,120.99282],","[14.55276,120.99211],","[14.55336,120.99456],","[14.55374,120.99643],","[14.55451,120.99948],","[14.55538,121.00186],","[14.55604,121.00389],","[14.55758,121.00714],","[14.55807,121.00837],","[14.55889,121.00994],","[14.56004,121.01219],","[14.56101,121.01441],","[14.56181,121.01988],","[14.56208,121.02250],","[14.56193,121.02597],","[14.56159,121.02727],","[14.56097,121.02868],","[14.55998,121.03022],","[14.55762,121.04410],","[14.55953,121.04628],","[14.56079,121.04635],","[14.56246,121.04633],","[14.56522,121.04583]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5730402,121.0120069],","[14.563064189646248, 121.0371464356485],","[14.5681920197085,121.0149825197085],","[14.5673436197085,121.0166475197085],","[14.5647279697085,121.0169054197085],","[14.5648559697085,121.0265033697085],","[14.5619520197085,121.0273650197085],","[14.5600593197085,121.0264191197085],","[14.5499642,121.0220422],","[14.54915845926243, 121.02455045456135],","[14.5489432697085,121.0263178197085],","[14.54915845926243, 121.02455045456135],","[14.5499642,121.0220422],","[14.5600593197085,121.0264191197085],","[14.5618723,121.0220422],","[14.5618723,121.0220422],","[14.5652860197085,121.0222173197085],","[14.5668506197085,121.0227792197085],","[14.5687098197085,121.0219505197085],","[14.5699801197085,121.0167973197085],","[14.5704129197085,121.0143919197085],","[14.568426859224653, 121.02852661792453],","[14.5730402,121.0120069]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.571453225916432, 121.01408244714169],","[14.5730402,121.0120069],","[14.568434650298297, 121.02849389626417],","[14.563064189646248, 121.0371464356485],","[14.5681920197085,121.0149825197085],","[14.5673436197085,121.0166475197085],","[14.5647279697085,121.0169054197085],","[14.563058008226571, 121.03713792016585],","[14.5652860197085,121.0222173197085],","[14.5668506197085,121.0227792197085],","[14.5696301197085,121.0241915197085],","[14.5701384197085,121.0260659197085],","[14.5675771,121.0275024197085],","[14.566758265437278, 121.02947625165913],","[14.5662309197085,121.0312520197085],","[14.5653983197085,121.0353694197085],","[14.568431610616654, 121.02851497380918],","[14.568431610616654, 121.02851497380918],",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.540321699542897, 121.01613021982082],","[14.5396849197085,121.0106289197085],","[14.5415348197085,121.0103149197085],","[14.5435171197085,121.0100093197085],","[14.5455125197085,121.0096793197085],","[14.5475793197085,121.0093429197085],","[14.5490382197085,121.0060721197085],","[14.5476871197085,121.0029188197085],","[14.5466871197085,120.9993267197085],","[14.5392805,120.9969525],","[14.540661741457146, 120.99803679472343],","[14.5447893197085,120.9925248197085],","[14.546158872682536, 120.99386164732674],","[14.543399326825151, 120.99839051172792]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
