Stops1,Stops2,Stops3,Stops4,Stops5,Stops6,Stops7,Stops8,Stops9,Stops10,Stops11,Stops12,Stops13,Stops14,Stops15,Stops16,Stops17,Stops18,Stops19,Stops20,Stops21,Stops22,Stops23,Stops24,Stops25,Stops26,Stops27,Stops28,Stops29,Stops30,Stops31,Stops32,Stops33,Stops34,Stops35,Stops36,Stops37,Stops38,Stops39,Stops40,Stops41,Stops42,Stops43,Stops44,Stops45,Stops46,Stops47,Stops48,Stops49,Stops50,Stops51,Stops52,Stops53,Stops54,Stops55,Stops56,Stops57,Stops58,Stops59,Stops60,Stops61,Stops62,Stops63,Stops64,Stops65,Stops66,Stops67,Stops68,Stops69,Stops70,Stops71,Stops72,Stops73,Stops74,Stops75,Stops76,Stops77,Stops78,Stops79,Stops80,Stops81,Stops82,Stops83,Stops84,Stops85,Stops86,Stops87,Stops88,Stops89,Stops90,Stops91,Stops92,Stops93,Stops94,Stops95,Stops96,Stops97,Stops98,Stops99,Stops100,Stops101,Stops102,Stops103,Stops104,Stops105,Stops106,Stops107,Stops108,Stops109,Stops110
"[14.5692133,120.9976694],","[14.55368909999997,120.9969352],","[14.5711007,120.9847642],","[14.5714506,120.9875425],","[14.5795232197085,120.9866609197085],","[14.5785440197085,120.9846982197085],","[14.5770639197085,120.9822412197085],","[14.5763492197085,120.9805408197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5813421,121.0120069],","[14.58194419999997,121.0132633],","[14.5834274197085,121.0165125197085],","[14.5844442197085,121.0177564197085],","[14.578783138962512, 120.99741491837625],","[14.579901705612901, 121.00606964576146],","[14.5773727197085,120.9982159197085],","[14.578840209241404, 120.99661173098528],","[14.5769032197085,120.9919538197085],","[14.5714506,120.9875425],","[14.5628423,120.9861981],","[14.5770639197085,120.9822412197085],","[14.5763492197085,120.9805408197085],","[14.5747609197085,120.9805570197085],","[14.576385451217561, 120.97932216529982],","[14.5765181697085,120.9846007197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5973569697085,120.9802448197085],","[14.6022231197085,120.9817659197085],","[14.6070101197085,120.9817085697085],","[14.6051454197085,120.9816197197085],","[14.6096169197085,120.9819645197085],","[14.6107188197085,120.9820412197085],","[14.6129729197085,120.9822343197085],","[14.6070101197085,120.9817085697085],","[14.6166361197085,120.9786696],","[14.6192962197085,120.9805281197085],","[14.621902857612673, 120.98191199570586],","[14.5991087,120.9790281],","[14.624303537951842, 120.98106071501499],","[14.625111324485124, 120.98031505310897],","[14.62571187358384, 120.97903171217226],","[14.618913577195265, 120.9776893336625],","[14.628997217356394, 120.9793885107826],","[14.63050521802386, 120.9798969044148],","[14.6306241197085,120.9790730197085],","[14.6391751197085,120.9784507197085],","[14.5988986,120.9790281],","[14.6024545197085,120.9805437197085],","[14.5988986,120.9790281],","[14.6445207,120.9816227197085],","[14.6445207,120.9816227197085],","[14.6418718197085,120.9806978197085],","[14.6431629197085,120.9793137197085],","[14.6431751197085,120.9786042197085],","[14.6428474697085,120.9777408],","[14.6434951697085,120.9719339697085],","[14.6381112,120.966838],","[14.6465545197085,120.9666955197085],","[14.6487969197085,120.9663782197085],","[14.6496671697085,120.9650328197085],","[14.6524421197085,120.9630361197085],","[14.6539699197085,120.9613525697085],","[14.6564006197085,120.9596840697085],","[14.65139879999997,120.947903],","[14.65139879999997,120.947903],","[14.65139879999997,120.947903],","[14.65139879999997,120.947903],","[14.66174626483845, 120.94583740493401],","[14.6536983197085,120.9476593197085],","[14.6555523197085,120.9466452697085],","[14.6566255697085,120.9464998197085],","[14.6590919697085,120.9448756697085],","[14.6613342697085,120.9434202197085],","[14.66238741970849,120.9433758197085],","[14.6715832197085,120.9344536197085],","[14.6515603197085,120.9482539197085],","[14.66296759999997,120.9405276],","[14.6698650197085,120.9392187697085],","[14.66174626483845, 120.94583740493401],","[14.6721720697085,120.9336612697085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6150057,121.0016124],","[14.6150057,121.0016124],","[14.6230869197085,121.0412255197085],","[14.6233179197085,121.0387745197085],","[14.6150057,121.0016124],","[14.6229270197085,121.0337683197085],","[14.6228617197085,121.0291284197085],","[14.6216131197085,121.0267074197085],","[14.6210885197085,121.0240886197085],","[14.6199977697085,121.0206315697085],","[14.6150057,121.0016124],","[14.6199202697085,121.0180594197085],","[14.61867111970849,121.0162097697085],","[14.620355510302211, 121.0196537778251],","[14.6163908697085,121.0114945197085],","[14.618324322783243, 121.00840758412265],","[14.61446379999997,120.9957848],","[14.60525949999997,120.9880394],","[14.6135330197085,120.9972356197085],","[14.60525949999997,120.9880394],","[14.611565891799188, 120.99492225284162],","[14.6098287197085,120.9919861197085],","[14.609640970975276, 120.99280849113508],","[14.6088467197085,120.9881436697085],","[14.6088467197085,120.9881436697085],","[14.6039105197085,120.9866904197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302],","[14.5956341697085,120.9840024]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6126588697085,121.0099522697085],","[14.6114689197085,121.0118900197085],","[14.6087526197085,121.0119617197085],","[14.6052521197085,121.0116180197085],","[14.6026035197085,121.0127530197085],","[14.6009353197085,121.0089459197085],","[14.6007296197085,121.0067144197085],","[14.6004065697085,121.0039445697085],","[14.60075869999998,120.9993774],","[14.60075869999998,120.9993774],","[14.5973289197085,120.9910377],","[14.5973289197085,120.9910377],","[14.5977424197085,120.9911937197085],","[14.600459097351058, 120.99061456229202],","[14.5890496197085,120.9817697197085],","[14.598306373210587, 120.9858345655308],","[14.598306373210587, 120.9858345655308],","[14.5972897,120.9833302],","[14.5956341697085,120.9840024]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.608355414331626, 120.96736417423652],","[14.609875456111384, 120.96458102997038],","[14.609748867214762, 120.96306095283636],","[14.610126274027122, 120.96103516118535],","[14.614969678756054, 120.96033182745552],","[14.616595599685459, 120.96018847993221],","[14.620621751609935, 120.95991974431848],","[14.62318121960892, 120.96007983402693],","[14.6254915223692, 120.96017450300165],","[14.638184651842048, 120.95660558082774],","[14.640057904830572, 120.9557684673528],","[14.643723039795923, 120.95311261252225],","[14.645919875118642, 120.9534941904941],","[14.654343735537863, 120.96389830239936],",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5933047,120.9805977],","[14.598109855402102, 120.99455383854797],","[14.598720466369336, 120.98428221787213],","[14.5922889,120.9806414],","[14.5922889,120.9806414],","[14.5972897,120.9833302],","[14.5956341697085,120.9840024],","[14.5956341697085,120.9840024],","[14.5956341697085,120.9840024],","[14.5933047,120.9805977]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5890496197085,120.9817697197085],","[14.59742,120.9890661],","[14.5953682197085,120.9868181197085],","[14.5922364,120.9869151],","[14.5898314697085,120.9850508197085],","[14.5857505,120.9822547],","[14.6013772197085,120.9871602197085],","[14.602889426215592, 120.98849299873382],","[14.591222389726374, 120.98188729607794]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.640171114097242, 121.01496382997784],","[14.640008582755184, 121.01342734305337],","[14.639797612734043, 121.01170791702626],","[14.639546299692642, 121.00991677034652],","[14.639282707687922, 121.00795346407885],","[14.63906823313678, 121.00625223218785],","[14.638904017238591, 121.00472541295636],","[14.638641110920979, 121.00284033274117],","[14.638443747371658, 121.00135377076556],","[14.638000735912135, 120.997978540527],","[14.637689482115325, 120.99553354822956],","[14.636908035564396, 120.99328063437342],","[14.63642083907433, 120.99310858131602],","[14.62759035784317, 120.9901959751374],","[14.625613352997068, 120.98797355974328],","[14.625100517473888, 120.98716646296732],","[14.62460555492553, 120.98637813542763],","[14.623842830617983, 120.98504529350888],","[14.622351349978992, 120.98281011107645],","[14.621077919235177, 120.98276759522285],","[14.618395728386991, 120.98269312486003],","[14.616094721309377, 120.98263956747374],","[14.61410472657679, 120.98259047891476],","[14.611300081881632, 120.98240011642258],","[14.609991850123766, 120.98231050766731],","[14.605348934889033, 120.98195606564042],","[14.604094622320318, 120.98191767390296],","[14.601495301204318, 120.98167865416092],","[14.600541168589597, 120.98131457065709],","[14.600245305274202, 120.98057144262741],","[14.599304237803436, 120.97999994512672],","[14.593810215661668, 120.97891941748962],","[14.589566167359779, 120.98072265237596],","[14.585356809176995, 120.97942440200234],","[14.584731674421356, 120.97918137057505],","[14.583436034100579, 120.98029564899994],","[14.580415065215337, 120.97880441300703],","[14.579352558216636, 120.9793214852537],","[14.577183147786867, 120.98035899268936],","[14.575202986393725, 120.98133043733772],","[14.573697482470791, 120.9820626692446],","[14.570784232935843, 120.98346216759352],","[14.569627073107426, 120.98402155353742],","[14.568254422716748, 120.98473107555797],","[14.56618949313726, 120.98572274591339],","[14.565201284184917, 120.98618609645214],","[14.562483902547546, 120.98822922449146],","[14.561081714647035, 120.98892945158418],","[14.563069759323787, 120.99506196448614],",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.59930310353591, 121.00012986095187],","[14.601023547552431, 120.9999881408186],","[14.602164488407023, 121.00926609404715]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
