Stops1,Stops2,Stops3,Stops4,Stops5,Stops6,Stops7,Stops8,Stops9,Stops10,Stops11,Stops12,Stops13,Stops14,Stops15,Stops16,Stops17,Stops18,Stops19,Stops20,Stops21,Stops22,Stops23,Stops24,Stops25,Stops26,Stops27,Stops28,Stops29,Stops30,Stops31,Stops32,Stops33,Stops34,Stops35,Stops36,Stops37,Stops38,Stops39,Stops40,Stops41,Stops42,Stops43,Stops44,Stops45,Stops46,Stops47,Stops48,Stops49,Stops50,Stops51,Stops52,Stops53,Stops54,Stops55,Stops56,Stops57,Stops58,Stops59,Stops60,Stops61,Stops62,Stops63,Stops64,Stops65,Stops66,Stops67,Stops68,Stops69,Stops70,Stops71,Stops72,Stops73,Stops74,Stops75,Stops76,Stops77,Stops78,Stops79,Stops80,Stops81,Stops82,Stops83,Stops84,Stops85,Stops86,Stops87,Stops88,Stops89,Stops90,Stops91,Stops92,Stops93,Stops94,Stops95,Stops96,Stops97,Stops98,Stops99,Stops100,Stops101,Stops102,Stops103,Stops104,Stops105,Stops106,Stops107,Stops108,Stops109,Stops110
"[14.576668307803576, 121.05018318778744],","[14.568852846805141, 121.04597851995013],","[14.569402926979492, 121.0259507099819],","[14.568408948560855, 121.02849294964513],","[14.568408948560855, 121.02849294964513],","[14.568408948560855, 121.02849294964513],","[14.5653983197085,121.0353694197085],","[14.5662309197085,121.0312520197085],","[14.5666751197085,121.0283474197085],","[14.5676207197085,121.0253380197085],","[14.5687098197085,121.0219505197085],","[14.5693558197085,121.0196928197085],","[14.5699801197085,121.0167973197085],","[14.571598,121.0150484697085],","[14.571598,121.0150484697085],","[14.5704129197085,121.0143919197085],","[14.568426059728038, 121.02852347742346],","[14.5721597197085,121.0124612197085],","[14.571453225916432, 121.01408244714169],","[14.5751095197085,121.0088462697085],","[14.579901705612901, 121.00606964576146],","[14.5773727197085,120.9982159197085],","[14.5788269197085,120.9959852197085],","[14.578840209241404, 120.99661173098528],","[14.5769032197085,120.9919538197085],","[14.578783138962512, 120.99741491837625],","[14.565353429093156, 121.04629183703624]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.614932783248973, 120.96682959594388],","[14.61281983240927, 120.96674074434618],","[14.609928784652638, 120.96648603037998],","[14.60811942016598, 120.96719420591488]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5813421,121.0120069],","[14.58194419999997,121.0132633],","[14.5834274197085,121.0165125197085],","[14.5844442197085,121.0177564197085],","[14.578783138962512, 120.99741491837625],","[14.579901705612901, 121.00606964576146],","[14.5773727197085,120.9982159197085],","[14.5792575697085,120.9983367197085],","[14.5788269197085,120.9959852197085],","[14.578840209241404, 120.99661173098528],","[14.5769032197085,120.9919538197085],","[14.5714506,120.9875425],","[14.5795232197085,120.9866609197085],","[14.5785440197085,120.9846982197085],","[14.5770639197085,120.9822412197085],","[14.5763492197085,120.9805408197085],","[14.564918761973287, 120.9861416531221],","[14.5765181697085,120.9846007197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5890496197085,120.9817697197085],","[14.59742,120.9890661],","[14.5953682197085,120.9868181197085],","[14.5922364,120.9869151],","[14.5898314697085,120.9850508197085],","[14.5857505,120.9822547],","[14.6013772197085,120.9871602197085],","[14.602889426215592, 120.98849299873382],","[14.591222389726374, 120.98188729607794]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6281234,121.0054656],","[14.6281234,121.0054656],","[14.6262879,121.0048384],","[14.6292128,120.9912183],","[14.6179832,120.9991032],","[14.6243903,120.9904552],","[14.6243903,120.9904552],","[14.6286429197085,120.9943105697085],","[14.6286429197085,120.9943105697085],","[14.6243969197085,120.9896799197085],","[14.606242,120.9818962],","[14.6215558197085,120.9814994197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.593004532675396, 120.98018144549087],","[14.599511725695402, 120.98438196876948],","[14.605136826050176, 120.98739247520119],","[14.606771237358904, 120.98969148711998],","[14.608464441005065, 120.99158883400462],","[14.609531147394394, 120.99268392671698],","[14.610392096498225, 120.9935419826888],","[14.61205768651877, 120.99537287166517],","[14.613997187210181, 120.99750738775212],","[14.615837682995476, 120.9995563169397],","[14.617365381201216, 121.00124069680852],","[14.619069773961419, 121.00327046616071],","[14.62027690802511, 121.00461092614955],","[14.620963569037311, 121.00535893623176],","[14.62195352947936, 121.0064309749939],","[14.623217133300892, 121.00782257583157],","[14.625167088685002, 121.00997740896281],","[14.62594324816164, 121.01078676837326],","[14.627811391534502, 121.01293596308001],","[14.62869931966212, 121.01389803413689],","[14.630401713543234, 121.01573418500263],","[14.631932461174932, 121.01790474099705],","[14.632549709468327, 121.01884776164384],","[14.63383495495676, 121.0180079386317],","[14.635289805034601, 121.01809284253426],","[14.636636314914504, 121.01831099822438],","[14.63788286098094, 121.01776926209416],","[14.639015824646346, 121.01685805840273],","[14.640271828850548, 121.01636206265349],","[14.641211960626796, 121.01648913220549],","[14.643424015037544, 121.01686371418914],","[14.644792517033027, 121.01710838230339],","[14.646879636471528, 121.01747578510043],","[14.649771709068117, 121.01794043415885],","[14.650423791303048, 121.01802802892733],","[14.651429382365755, 121.01819895798764],","[14.652452707647953, 121.01836815782639],","[14.655517744285405, 121.0188800389138],","[14.656566145166611, 121.01920724597542],","[14.659070123984247, 121.0199164258539],","[14.660771813293797, 121.0200797908373],","[14.66173218638041, 121.02017228574479],","[14.663156828545018, 121.02097956234014],","[14.665308318297319, 121.0219346009444],","[14.667114628863295, 121.02096664821163],","[14.668559434121217, 121.02022983184487],","[14.66967456790996, 121.019610444903],","[14.672060662476468, 121.0183688252605],","[14.672632367789463, 121.02069982265911],","[14.672213568953104, 121.0232981071734],","[14.67337521903843, 121.02559545534446],","[14.674471371303154, 121.02602921485814],","[14.67617140303844, 121.0262445377802],",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6126588697085,121.0099522697085],","[14.6114689197085,121.0118900197085],","[14.6087526197085,121.0119617197085],","[14.6052521197085,121.0116180197085],","[14.6026035197085,121.0127530197085],","[14.6018026197085,121.0109848197085],","[14.6009353197085,121.0089459197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6065238,120.9732917],","[14.6065238,120.9732917],","[14.6090888197085,120.9727813197085],","[14.6056667,120.9732917],","[14.6112383197085,120.9750810197085],","[14.6128793197085,120.9738859197085],","[14.6140714197085,120.9757448197085],","[14.6154027197085,120.9760572197085],","[14.6157205,120.9704234],","[14.6164726,120.9794716197085],","[14.6167976197085,120.9804922197085],","[14.6192962197085,120.9805281197085],","[14.621897120049631, 120.98191741863879],","[14.622769426844219, 120.98289986490326]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.615584179968979, 120.98367665827087],","[14.624265187764747, 120.98302034383424],","[14.622561150440102, 120.9831061919472],","[14.591732314757513, 120.98192756055757],","[14.591732314757513, 120.98192756055757],","[14.6110566697085,120.9812096197085],","[14.6130269197085,120.9809612697085],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5981755197085,120.9827680197085],","[14.6024989197085,120.9809686697085],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.5848864197085,120.9813092197085],","[14.5822017197085,120.9826399197085],","[14.580272600706673, 120.98583108965893],","[14.5785440197085,120.9846982197085],","[14.57992786357945, 120.98610843802997],","[14.580272600706673, 120.98583108965893],","[14.568960667505918, 120.98680480282489],","[14.5608934,120.9883491],","[14.5618724197085,120.9902922197085],","[14.5553593197085,120.9894964197085],","[14.55134439999997,120.9861736],","[14.54691169999997,120.9926156],","[14.5348332,120.9962356]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6292128,120.9912183],","[14.632727804221087, 121.00175457297735],","[14.6243903,120.9904552],","[14.6243903,120.9904552],","[14.6286429197085,120.9943105697085],","[14.6286429197085,120.9943105697085],","[14.6243969197085,120.9896799197085],","[14.6225224197085,120.9877771197085],","[14.6238367197085,120.9860963197085],","[14.624174216176115, 120.98657184853866],","[14.622478437696316, 120.98653245193388],","[14.6210328197085,120.9835371197085],","[14.591366714522719, 120.9818634994128],","[14.591366714522719, 120.9818634994128],","[14.6110566697085,120.9812096197085],","[14.6130269197085,120.9809612697085],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5981755197085,120.9827680197085],","[14.6024989197085,120.9809686697085],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5977924697085,120.9788890697085],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.5841114697085,120.9773827697085],","[14.5841114697085,120.9773827697085],","[14.5841114697085,120.9773827697085],","[14.5694926,120.9851227],","[14.5804762,120.9782401],","[14.5786881697085,120.9792153697085],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.565044995368677, 120.98623433285469],","[14.564918761973287, 120.9861416531221],","[14.571224729150064, 120.98458157185844],","[14.57150432228678, 120.98539355627658],","[14.5608934,120.9883491],","[14.5618724197085,120.9902922197085],","[14.5553593197085,120.9894964197085],","[14.55134439999997,120.9861736],","[14.55134439999997,120.9861736],","[14.54691169999997,120.9926156],","[14.5348332,120.9962356],","[14.54691169999997,120.9926156],","[14.5447893197085,120.9925248197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6211986697085,120.9821463197085],","[14.62301734865457, 120.98304327872471],","[14.6194718197085,120.9948068197085],","[14.61483559999997,120.9895934],","[14.6189368,120.991217],","[14.61187319999998,120.9895397],","[14.6238367197085,120.9860963197085],","[14.624174216176115, 120.98657184853866],",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6238367197085,120.9860963197085],","[14.6228758197085,120.9845837197085],","[14.570722733553463, 120.98450638265032],","[14.6190365,120.9877170697085],","[14.61911029816069, 120.98899395571011],","[14.6133752,120.9876321],","[14.6133752,120.9876321],","[14.6109975,120.9861981],","[14.6045196,120.9847642],","[14.6045196,120.9847642],","[14.6058021197085,120.9845897197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302],","[14.5944751,120.9808206],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.5885644197085,120.9793338197085],","[14.56526427427887,120.99383650480966],","[14.5826472,120.9750843]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6238367197085,120.9860963197085],","[14.6225224197085,120.9877771197085],","[14.6190365,120.9877170697085],","[14.61911029816069, 120.98899395571011],","[14.6133752,120.9876321],","[14.6109975,120.9861981],","[14.6109975,120.9861981],","[14.6045196,120.9847642],","[14.6045196,120.9847642],","[14.6058021197085,120.9845897197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302],","[14.5944751,120.9808206],","[14.5885644197085,120.9793338197085],","[14.5841114697085,120.9773827697085],","[14.5826472,120.9750843],","[14.5694926,120.9851227],","[14.5804762,120.9782401],","[14.5786881697085,120.9792153697085],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.568961282675307, 120.98679712493431],","[14.571903194378317, 120.98617306515568],","[14.5608934,120.9883491],","[14.5618724197085,120.9902922197085],","[14.560179022982757, 120.98934036373275],","[14.5583753197085,120.9916265197085],","[14.54691169999997,120.9926156],","[14.55134439999997,120.9861736],","[14.55134439999997,120.9861736],","[14.53227629999997,120.9893366],","[14.5447893197085,120.9925248197085],","[14.53227629999997,120.9893366],","[14.53227629999997,120.9893366],","[14.5382815197085,120.9940344197085],","[14.5364846197085,120.9943804197085],","[14.545071338936191, 120.99160443486932],","[14.522518749092058, 120.99031650641663],","[14.510563407941646, 120.99102762450332]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6208307,120.9927227],","[14.6196429197085,120.9971660197085],","[14.619395525376115, 120.99677194671085],","[14.617701081645551, 120.99490010918355],","[14.6146363197085,120.9916820197085],","[14.6129175197085,120.9897918197085],","[14.612935196922948, 120.98965723086638],","[14.6093281197085,120.9858335197085],","[14.6045196,120.9847642],","[14.6058021197085,120.9845897197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302],","[14.5934789,120.9732917],","[14.5934789,120.9732917],","[14.5923546197085,120.9728086197085],","[14.5909161197085,120.9711534197085],","[14.594128776074841, 120.96852582601214],","[14.5889600197085,120.9687639197085],","[14.5870989,120.966838],","[14.5856892,120.9679136]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5958568,120.9675551],","[14.6040024197085,120.9712764197085],","[14.5958568,120.9675551],","[14.5958568,120.9675551],","[14.5963988,120.9732917],","[14.5958810197085,120.9740419197085],","[14.5946816197085,120.9747191197085],","[14.5826472,120.9750843],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.5848864197085,120.9813092197085],","[14.5822017197085,120.9826399197085],","[14.56526427427887,120.99383650480966],","[14.5785440197085,120.9846982197085],","[14.56526427427887,120.99383650480966],","[14.56526427427887,120.99383650480966],","[14.5690648197085,120.9902457197085],","[14.5690648197085,120.9902457197085],","[14.565466034856891, 120.99371207144428],","[14.565466034856891, 120.99371207144428],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.5528582197085,120.9958418197085],","[14.5489394197085,120.9967755197085],","[14.53763789999998,120.9953855]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5348332,120.9962356],","[14.5447893197085,120.9925248197085],","[14.55352629999997,120.9892402697085],","[14.53227629999997,120.9893366],","[14.55134439999997,120.9861736],","[14.5553593197085,120.9894964197085],","[14.533682550166322, 120.99662859633669],","[14.5635902197085,120.9848596197085],","[14.564918761973287, 120.9861416531221],","[14.564918761973287, 120.9861416531221],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.5804762,120.9782401],","[14.5822017197085,120.9826399197085],","[14.5848864197085,120.9813092197085],","[14.565466034856891, 120.99371207144428],","[14.565466034856891, 120.99371207144428],","[14.5963988,120.9732917],","[14.5958568,120.9675551],","[14.5958568,120.9675551],","[14.6021766197085,120.9702068197085],","[14.5958568,120.9675551]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5958568,120.9675551],","[14.6040024197085,120.9712764197085],","[14.6033323197085,120.9731017197085],","[14.5958568,120.9675551],","[14.5958568,120.9675551],","[14.5958810197085,120.9740419197085],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.5694926,120.9851227],","[14.579474,120.976877]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.579474,120.976877],","[14.579474,120.976877],","[14.5811111197085,120.9832436697085],","[14.576430879849426, 120.98799949034674],","[14.5826472,120.9750843],","[14.5972897,120.9833302],","[14.603113340074794, 120.98488711336834],","[14.6039105197085,120.9866904197085],","[14.6088467197085,120.9881436697085],","[14.6088467197085,120.9881436697085],","[14.609640970975276, 120.99280849113508],","[14.6098287197085,120.9919861197085],","[14.609564717718156, 120.99269602658619],","[14.60525949999997,120.9880394],","[14.6135330197085,120.9972356197085],","[14.60525949999997,120.9880394],","[14.61446379999997,120.9957848],","[14.609451393028062, 120.99273559378855],","[14.6163908697085,121.0114945197085],","[14.618960256101156, 121.01501244474503],","[14.61867111970849,121.0162097697085],","[14.6150057,121.0016124],","[14.6199977697085,121.0206315697085],","[14.6210885197085,121.0240886197085],","[14.6216131197085,121.0267074197085],","[14.6228617197085,121.0291284197085],","[14.6229270197085,121.0337683197085],","[14.6150057,121.0016124],","[14.6233179197085,121.0387745197085],","[14.6150057,121.0016124],","[14.6150057,121.0016124],","[14.6216399197085,121.0517657197085],","[14.6226059197085,121.0541196197085],","[14.6251863197085,121.0590687197085],","[14.627775038123337, 121.06320051228624],","[14.620678342057554, 121.04810904623544],","[14.6279788697085,121.0674612697085],","[14.6259595197085,121.0687486197085],","[14.6238252197085,121.0695162197085],","[14.624227638042553, 121.0712047280981],","[14.6211973197085,121.0712874197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.632727804221087, 121.00175457297735],","[14.6243903,120.9904552],","[14.6243903,120.9904552],","[14.6286429197085,120.9943105697085],","[14.6286429197085,120.9943105697085],","[14.6243969197085,120.9896799197085],","[14.6225224197085,120.9877771197085],","[14.6238367197085,120.9860963197085],","[14.606242,120.9818962],","[14.62259826739451, 120.9828931161176],","[14.62274270144987, 120.98291318826446],","[14.616843184335819, 120.98271509961994],","[14.615630770077749, 120.98264717409002],","[14.6130269197085,120.9809612697085],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5981755197085,120.9827680197085],","[14.6024989197085,120.9809686697085],","[14.5988986,120.9790281],","[14.5989416197085,120.9793331197085],","[14.5988986,120.9790281],","[14.5977924697085,120.9788890697085],","[14.5923546197085,120.9728086197085],","[14.5909161197085,120.9711534197085],","[14.594165042875394, 120.9685187818939],","[14.594165042875394, 120.9685187818939],","[14.594189981854312, 120.96853532356079],","[14.594189981854312, 120.96853532356079],",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5392805,120.9969525],","[14.5348332,120.9962356],","[14.5447893197085,120.9925248197085],","[14.55352629999997,120.9892402697085],","[14.53227629999997,120.9893366],","[14.55134439999997,120.9861736],","[14.5553593197085,120.9894964197085],","[14.564497992460518, 120.98715002086136],","[14.570722733553463, 120.98450638265032],","[14.564918761973287, 120.9861416531221],","[14.570722733553463, 120.98450638265032],","[14.564918761973287, 120.9861416531221],","[14.570722733553463, 120.98450638265032],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.5786881697085,120.9792153697085],","[14.5694926,120.9851227],","[14.5841114697085,120.9773827697085],","[14.5841114697085,120.9773827697085],","[14.5826472,120.9750843],","[14.5826472,120.9750843],","[14.5842032,120.9693478],","[14.5842032,120.9693478],","[14.5889600197085,120.9687639197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.673135992800164, 120.93518498955459],","[14.67189934022852, 120.93518541010195],","[14.67144068805742, 120.937556054669],","[14.669548830078435, 120.93888282208655],","[14.667759436864577, 120.93998520490159],","[14.665969205526952, 120.94104273048553],","[14.663814433917194, 120.94232029543589],","[14.661763194905387, 120.94350055573254],","[14.660588815399658, 120.94417680589157],","[14.658766114655661, 120.94519634813119],","[14.655589541704, 120.9467774552982],","[14.6552390690778, 120.94770385215556],","[14.65466277146181, 120.94793871427213],","[14.653467801233322, 120.94845829832452],","[14.652716214564514, 120.94878255400637],","[14.652485307802781, 120.95014646641464],","[14.653562696948223, 120.95426625265732],","[14.655474886655082, 120.95713787678204],","[14.656046195288441, 120.95843311689832],","[14.657317456218502, 120.96171877545424],","[14.655439226728065, 120.96287114608995],","[14.654031463320091, 120.96413909468212],","[14.651967998618623, 120.96606415860153],","[14.649930197935085, 120.9676421858802],","[14.64817346123485, 120.96801450119747],","[14.644746529224852, 120.97595527220211],","[14.64465323296906, 120.9777677118394],","[14.644520222220219, 120.97971723809262],","[14.643425735459122, 120.97990192191122],","[14.64046713334367, 120.98132045862012],","[14.640442444260714, 120.98202059820935],","[14.640416212106864, 120.9829998367428],","[14.639980970957813, 120.98334436060391],","[14.637792799523195, 120.98305070355694],","[14.63603692631096, 120.9822258512379],","[14.634021163988207, 120.98128531783645],","[14.63263784691464, 120.98068324557863],","[14.631157872896681, 120.98015014159984],","[14.629255222977099, 120.97948224088742],","[14.62754255921644, 120.97882963691359],","[14.626062951645478, 120.9785050947544],","[14.625641081825426, 120.97966995325164],","[14.624496175138578, 120.9808881918781],","[14.623072814919727, 120.98199040863767],","[14.62204820171593, 120.98191848105432],","[14.62048766657089, 120.98187651634717],","[14.619399760735714, 120.98200251648174],","[14.618156440386615, 120.98478203932112],","[14.614798080537328, 120.98459090498143],","[14.612793509191253, 120.98442173322996],","[14.611277336845097, 120.98430656157112],","[14.609293476082204, 120.98417348901607],","[14.607690562179394, 120.98402855191131],","[14.60706112774544, 120.98576084102758],","[14.603510410824265, 120.98404494207301]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5778133,120.9818962],","[14.5795232197085,120.9866609197085],","[14.5785440197085,120.9846982197085],","[14.5770639197085,120.9822412197085],","[14.579474,120.976877],","[14.5694926,120.9851227],","[14.5841114697085,120.9773827697085],","[14.5826472,120.9750843],","[14.5826472,120.9750843],","[14.589592119036162, 120.98061833901957],","[14.583061271407724, 120.97553200986506],","[14.587172210460684, 120.9732134790221],","[14.590645537117853, 120.97110422495794],","[14.5894591197085,120.9695226197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6226059197085,121.0541196197085],","[14.6216399197085,121.0517657197085],","[14.6150057,121.0016124],","[14.6150057,121.0016124],","[14.6230869197085,121.0412255197085],","[14.6233179197085,121.0387745197085],","[14.6150057,121.0016124],","[14.6229270197085,121.0337683197085],","[14.6228617197085,121.0291284197085],","[14.6216131197085,121.0267074197085],","[14.6210885197085,121.0240886197085],","[14.6199977697085,121.0206315697085],","[14.6150057,121.0016124],","[14.61867111970849,121.0162097697085],","[14.621923792964356, 121.04722211014385],","[14.6150057,121.0016124],","[14.6163908697085,121.0114945197085],","[14.621923792964356, 121.04722211014385],","[14.61446379999997,120.9957848],","[14.6176327197085,121.0015090197085],","[14.60525949999997,120.9880394],","[14.6135330197085,120.9972356197085],","[14.60525949999997,120.9880394],","[14.611264899569377, 120.99502835537864],","[14.6098287197085,120.9919861197085],","[14.6128435197085,120.9870418197085],","[14.6088467197085,120.9881436697085],","[14.6088467197085,120.9881436697085],","[14.6039105197085,120.9866904197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302],","[14.5944751,120.9808206],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.5841114697085,120.9773827697085],","[14.5841114697085,120.9773827697085],","[14.5841114697085,120.9773827697085],","[14.5694926,120.9851227],","[14.5804762,120.9782401],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.564918761973287, 120.9861416531221],","[14.5635902197085,120.9848596197085],","[14.5618724197085,120.9902922197085],","[14.5592245697085,120.9890266197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5988986,120.9790281],","[14.5977924697085,120.9788890697085],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.565466034856891, 120.99371207144428],","[14.5848864197085,120.9813092197085],","[14.5822017197085,120.9826399197085],","[14.56526427427887,120.99383650480966],","[14.5785440197085,120.9846982197085],","[14.56526427427887,120.99383650480966],","[14.56526427427887,120.99383650480966],","[14.5690648197085,120.9902457197085],","[14.5690648197085,120.9902457197085],","[14.56526427427887,120.99383650480966],","[14.56526427427887,120.99383650480966],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.5528582197085,120.9958418197085],","[14.5489394197085,120.9967755197085],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.56526427427887,120.99383650480966],","[14.5348332,120.9962356],","[14.5364846197085,120.9943804197085],","[14.5364846197085,120.9943804197085],","[14.5355756197085,120.9919767197085],","[14.5308531697085,120.9930093]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.618324322783243, 121.00840758412265],","[14.61446379999997,120.9957848],","[14.60525949999997,120.9880394],","[14.6135330197085,120.9972356197085],","[14.60525949999997,120.9880394],","[14.611716984912558, 120.99500943239926],","[14.6098287197085,120.9919861197085],","[14.6128435197085,120.9870418197085],","[14.6088467197085,120.9881436697085],","[14.6088467197085,120.9881436697085],","[14.6039105197085,120.9866904197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302],","[14.5944751,120.9808206],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.5841114697085,120.9773827697085],","[14.5804762,120.9782401],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.564918761973287, 120.9861416531221],","[14.564918761973287, 120.9861416531221],","[14.5635902197085,120.9848596197085],","[14.564918761973287, 120.9861416531221],","[14.5688455197085,120.9902411197085],","[14.5553593197085,120.9894964197085],","[14.55134439999997,120.9861736],","[14.53227629999997,120.9893366],","[14.55352629999997,120.9892402697085],","[14.5447893197085,120.9925248197085],","[14.53227629999997,120.9893366],","[14.53227629999997,120.9893366],","[14.5382815197085,120.9940344197085],","[14.5364846197085,120.9943804197085],","[14.53227629999997,120.9893366],","[14.5327096197085,120.9950899197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
