longitude,latitude,phl_general_2020,geometry,index_right
121.01486111135324,14.580972222176568,26.216212,POINT (121.01486111135324 14.580972222176568),0
121.01458333357544,14.580694444398793,39.690804,POINT (121.01458333357544 14.580694444398793),0
121.01486111135324,14.580694444398793,39.690804,POINT (121.01486111135324 14.580694444398793),0
121.015138889131,14.580694444398793,39.690804,POINT (121.015138889131 14.580694444398793),0
121.01541666690878,14.580694444398793,26.216212,POINT (121.01541666690878 14.580694444398793),0
121.01430555579766,14.580416666621012,39.690804,POINT (121.01430555579766 14.580416666621012),0
121.01458333357544,14.580416666621012,39.690804,POINT (121.01458333357544 14.580416666621012),0
121.01486111135324,14.580416666621012,39.690804,POINT (121.01486111135324 14.580416666621012),0
121.015138889131,14.580416666621012,7.257768,POINT (121.015138889131 14.580416666621012),0
121.01541666690878,14.580416666621012,7.257768,POINT (121.01541666690878 14.580416666621012),0
121.01569444468656,14.580416666621012,26.216212,POINT (121.01569444468656 14.580416666621012),0
121.0140277780199,14.580138888843234,39.690804,POINT (121.0140277780199 14.580138888843234),0
121.01430555579766,14.580138888843234,39.690804,POINT (121.01430555579766 14.580138888843234),0
121.01458333357544,14.580138888843234,39.690804,POINT (121.01458333357544 14.580138888843234),0
121.01486111135324,14.580138888843234,7.257768,POINT (121.01486111135324 14.580138888843234),0
121.015138889131,14.580138888843234,7.257768,POINT (121.015138889131 14.580138888843234),0
121.01541666690878,14.580138888843234,7.257768,POINT (121.01541666690878 14.580138888843234),0
121.01569444468656,14.580138888843234,7.257768,POINT (121.01569444468656 14.580138888843234),0
121.01597222246434,14.580138888843234,7.257768,POINT (121.01597222246434 14.580138888843234),0
121.01625000024212,14.580138888843234,26.216212,POINT (121.01625000024212 14.580138888843234),0
121.01375000024213,14.579861111065457,39.690804,POINT (121.01375000024213 14.579861111065457),0
121.0140277780199,14.579861111065457,39.690804,POINT (121.0140277780199 14.579861111065457),0
121.01430555579766,14.579861111065457,39.690804,POINT (121.01430555579766 14.579861111065457),0
121.01458333357544,14.579861111065457,7.257768,POINT (121.01458333357544 14.579861111065457),0
121.01486111135324,14.579861111065457,7.257768,POINT (121.01486111135324 14.579861111065457),0
121.015138889131,14.579861111065457,7.257768,POINT (121.015138889131 14.579861111065457),0
121.01541666690878,14.579861111065457,7.257768,POINT (121.01541666690878 14.579861111065457),0
121.01569444468656,14.579861111065457,7.257768,POINT (121.01569444468656 14.579861111065457),0
121.01597222246434,14.579861111065457,7.257768,POINT (121.01597222246434 14.579861111065457),0
121.01625000024212,14.579861111065457,7.257768,POINT (121.01625000024212 14.579861111065457),0
121.01652777801988,14.579861111065457,26.216212,POINT (121.01652777801988 14.579861111065457),0
121.01347222246432,14.579583333287678,39.690804,POINT (121.01347222246432 14.579583333287678),0
121.01375000024213,14.579583333287678,39.690804,POINT (121.01375000024213 14.579583333287678),0
121.0140277780199,14.579583333287678,39.690804,POINT (121.0140277780199 14.579583333287678),0
121.01430555579766,14.579583333287678,7.257768,POINT (121.01430555579766 14.579583333287678),0
121.01458333357544,14.579583333287678,7.257768,POINT (121.01458333357544 14.579583333287678),0
121.01486111135324,14.579583333287678,7.257768,POINT (121.01486111135324 14.579583333287678),0
121.015138889131,14.579583333287678,7.257768,POINT (121.015138889131 14.579583333287678),0
121.01541666690878,14.579583333287678,7.257768,POINT (121.01541666690878 14.579583333287678),0
121.01569444468656,14.579583333287678,7.257768,POINT (121.01569444468656 14.579583333287678),0
121.01597222246434,14.579583333287678,7.257768,POINT (121.01597222246434 14.579583333287678),0
121.01625000024212,14.579583333287678,7.257768,POINT (121.01625000024212 14.579583333287678),0
121.01652777801988,14.579583333287678,7.257768,POINT (121.01652777801988 14.579583333287678),0
121.01319444468656,14.5793055555099,39.690804,POINT (121.01319444468656 14.5793055555099),0
121.01347222246432,14.5793055555099,39.690804,POINT (121.01347222246432 14.5793055555099),0
121.01375000024213,14.5793055555099,39.690804,POINT (121.01375000024213 14.5793055555099),0
121.0140277780199,14.5793055555099,7.257768,POINT (121.0140277780199 14.5793055555099),0
121.01430555579766,14.5793055555099,7.257768,POINT (121.01430555579766 14.5793055555099),0
121.01458333357544,14.5793055555099,7.257768,POINT (121.01458333357544 14.5793055555099),0
121.01486111135324,14.5793055555099,7.257768,POINT (121.01486111135324 14.5793055555099),0
121.015138889131,14.5793055555099,7.257768,POINT (121.015138889131 14.5793055555099),0
121.01541666690878,14.5793055555099,7.257768,POINT (121.01541666690878 14.5793055555099),0
121.01625000024212,14.5793055555099,7.257768,POINT (121.01625000024212 14.5793055555099),0
121.01652777801988,14.5793055555099,7.257768,POINT (121.01652777801988 14.5793055555099),0
121.01680555579767,14.5793055555099,7.257768,POINT (121.01680555579767 14.5793055555099),0
121.01291666690878,14.579027777732122,39.690804,POINT (121.01291666690878 14.579027777732122),0
121.01319444468656,14.579027777732122,39.690804,POINT (121.01319444468656 14.579027777732122),0
121.01347222246432,14.579027777732122,39.690804,POINT (121.01347222246432 14.579027777732122),0
121.01375000024213,14.579027777732122,7.257768,POINT (121.01375000024213 14.579027777732122),0
121.0140277780199,14.579027777732122,7.257768,POINT (121.0140277780199 14.579027777732122),0
121.01430555579766,14.579027777732122,7.257768,POINT (121.01430555579766 14.579027777732122),0
121.01458333357544,14.579027777732122,7.257768,POINT (121.01458333357544 14.579027777732122),0
121.01486111135324,14.579027777732122,7.257768,POINT (121.01486111135324 14.579027777732122),0
121.015138889131,14.579027777732122,7.257768,POINT (121.015138889131 14.579027777732122),0
121.01541666690878,14.579027777732122,7.257768,POINT (121.01541666690878 14.579027777732122),0
121.01569444468656,14.579027777732122,7.257768,POINT (121.01569444468656 14.579027777732122),0
121.01597222246434,14.579027777732122,7.257768,POINT (121.01597222246434 14.579027777732122),0
121.01625000024212,14.579027777732122,7.257768,POINT (121.01625000024212 14.579027777732122),0
121.01652777801988,14.579027777732122,7.257768,POINT (121.01652777801988 14.579027777732122),0
121.01680555579767,14.579027777732122,7.257768,POINT (121.01680555579767 14.579027777732122),0
121.01708333357544,14.579027777732122,7.257768,POINT (121.01708333357544 14.579027777732122),0
121.0123611113532,14.578749999954344,39.690804,POINT (121.0123611113532 14.578749999954344),0
121.012638889131,14.578749999954344,39.690804,POINT (121.012638889131 14.578749999954344),0
121.01291666690878,14.578749999954344,39.690804,POINT (121.01291666690878 14.578749999954344),0
121.01319444468656,14.578749999954344,39.690804,POINT (121.01319444468656 14.578749999954344),0
121.01347222246432,14.578749999954344,7.257768,POINT (121.01347222246432 14.578749999954344),0
121.01375000024213,14.578749999954344,7.257768,POINT (121.01375000024213 14.578749999954344),0
121.0140277780199,14.578749999954344,7.257768,POINT (121.0140277780199 14.578749999954344),0
121.01430555579766,14.578749999954344,7.257768,POINT (121.01430555579766 14.578749999954344),0
121.01458333357544,14.578749999954344,7.257768,POINT (121.01458333357544 14.578749999954344),0
