longitude,latitude,phl_general_2020,geometry,index_right
121.0568055557977,14.601805555509918,6.163831,POINT (121.0568055557977 14.601805555509918),0
121.05708333357548,14.601805555509918,4.228244,POINT (121.05708333357548 14.601805555509918),0
121.0493055557977,14.60152777773214,6.163831,POINT (121.0493055557977 14.60152777773214),0
121.04958333357548,14.60152777773214,6.163831,POINT (121.04958333357548 14.60152777773214),0
121.04986111135324,14.60152777773214,6.163831,POINT (121.04986111135324 14.60152777773214),0
121.05013888913103,14.60152777773214,6.163831,POINT (121.05013888913103 14.60152777773214),0
121.0504166669088,14.60152777773214,5.909016,POINT (121.0504166669088 14.60152777773214),0
121.05597222246436,14.60152777773214,6.163831,POINT (121.05597222246436 14.60152777773214),0
121.05625000024214,14.60152777773214,6.163831,POINT (121.05625000024214 14.60152777773214),0
121.05652777801993,14.60152777773214,6.163831,POINT (121.05652777801993 14.60152777773214),0
121.0568055557977,14.60152777773214,6.163831,POINT (121.0568055557977 14.60152777773214),0
121.05708333357548,14.60152777773214,4.228244,POINT (121.05708333357548 14.60152777773214),0
121.04902777801992,14.601249999954362,6.163831,POINT (121.04902777801992 14.601249999954362),0
121.0493055557977,14.601249999954362,6.163831,POINT (121.0493055557977 14.601249999954362),0
121.04958333357548,14.601249999954362,6.163831,POINT (121.04958333357548 14.601249999954362),0
121.04986111135324,14.601249999954362,6.163831,POINT (121.04986111135324 14.601249999954362),0
121.05013888913103,14.601249999954362,6.163831,POINT (121.05013888913103 14.601249999954362),0
121.0504166669088,14.601249999954362,6.163831,POINT (121.0504166669088 14.601249999954362),0
121.05069444468658,14.601249999954362,6.163831,POINT (121.05069444468658 14.601249999954362),0
121.05097222246437,14.601249999954362,6.163831,POINT (121.05097222246437 14.601249999954362),0
121.05125000024212,14.601249999954362,6.163831,POINT (121.05125000024212 14.601249999954362),0
121.05152777801992,14.601249999954362,6.163831,POINT (121.05152777801992 14.601249999954362),0
121.0518055557977,14.601249999954362,6.163831,POINT (121.0518055557977 14.601249999954362),0
121.05208333357548,14.601249999954362,6.163831,POINT (121.05208333357548 14.601249999954362),0
121.05236111135324,14.601249999954362,5.909016,POINT (121.05236111135324 14.601249999954362),0
121.05513888913104,14.601249999954362,6.163831,POINT (121.05513888913104 14.601249999954362),0
121.0554166669088,14.601249999954362,6.163831,POINT (121.0554166669088 14.601249999954362),0
121.0556944446866,14.601249999954362,6.163831,POINT (121.0556944446866 14.601249999954362),0
121.05597222246436,14.601249999954362,6.163831,POINT (121.05597222246436 14.601249999954362),0
121.05625000024214,14.601249999954362,6.163831,POINT (121.05625000024214 14.601249999954362),0
121.05652777801993,14.601249999954362,6.163831,POINT (121.05652777801993 14.601249999954362),0
