amenity,addr_city,name,x,y,geometry
education,Manila,De La Salle University Manila,120.992897,14.56522187,"MULTIPOLYGON (((120.992884 14.5663596, 120.9931857 14.566493, 120.9932565 14.5663487, 120.9932747 14.5663117, 120.9927916 14.5660833, 120.9927566 14.5660664, 120.992711 14.5660459, 120.9927698 14.5659483, 120.9929439 14.5656056, 120.9934878 14.5658777, 120.9935262 14.5657934, 120.99354 14.5657647, 120.9936285 14.5655729, 120.9937701 14.5652654, 120.993822 14.5651604, 120.9938626 14.5650487, 120.9939444 14.5648397, 120.9939833 14.5647411, 120.9942193 14.5642414, 120.9943078 14.5640629, 120.9943843 14.563913, 120.9944312 14.5638247, 120.9943663 14.5637948, 120.9943391 14.5638485, 120.9942381 14.563805, 120.9942672 14.5637405, 120.993869 14.5635482, 120.9938425 14.5635132, 120.9936252 14.5634132, 120.9935313 14.5634716, 120.993127 14.5639279, 120.9930832 14.5639065, 120.992962 14.5641226, 120.9926285 14.564345, 120.9925523 14.5643621, 120.9922734 14.564279, 120.9922177 14.5642835, 120.9921882 14.5643037, 120.9921484 14.5643697, 120.9919298 14.564759, 120.9917128 14.5648696, 120.9917081 14.5649011, 120.9916954 14.5649851, 120.9919507 14.565183, 120.9922297 14.5653492, 120.9922852 14.5653822, 120.9922895 14.5654161, 120.9921299 14.5656302, 120.991973 14.5659119, 120.9921406 14.5659911, 120.9921849 14.5659041, 120.9926248 14.5661014, 120.9925664 14.5662124, 120.9926599 14.5662606, 120.992884 14.5663596), (120.9936249 14.5635248, 120.9936606 14.5634517, 120.9937181 14.5634781, 120.9936893 14.563551, 120.9936249 14.5635248), (120.9917793 14.5650165, 120.9918575 14.5649017, 120.9918922 14.564914, 120.9918318 14.565043, 120.9917793 14.5650165), (120.9922585 14.5649312, 120.9923312 14.5649567, 120.9922754 14.5650408, 120.9922195 14.5650161, 120.9922585 14.5649312)), ((120.9923425 14.5663161, 120.9919242 14.5661415, 120.9916278 14.5666296, 120.9915568 14.5667895, 120.9915591 14.5670117, 120.9920374 14.5672259, 120.9920581 14.5672354, 120.9922741 14.5670813, 120.9928167 14.5673103, 120.9928752 14.567188, 120.9929201 14.5670903, 120.9923783 14.5668567, 120.992239 14.5668534, 120.9921957 14.5668397, 120.9920673 14.5667878, 120.9918552 14.5666985, 120.9919268 14.5665064, 120.992195 14.5666199, 120.992314 14.5666702, 120.9923885 14.5665059, 120.9924564 14.5663713, 120.9924681 14.5663762, 120.9924806 14.5663526, 120.9923536 14.5662955, 120.9923425 14.5663161)), ((120.9913031 14.5683948, 120.991266 14.5684762, 120.9914389 14.5685402, 120.9914693 14.5684458, 120.9913031 14.5683948)), ((120.9912649 14.5688129, 120.9912112 14.5687869, 120.9911911 14.5687753, 120.9911107 14.5687428, 120.991057 14.568748, 120.9910114 14.568722, 120.990962 14.5686974, 120.9908789 14.5688532, 120.9909829 14.568923, 120.9911561 14.5690018, 120.9911657 14.5690092, 120.9912928 14.5690671, 120.9913815 14.5688583, 120.9912808 14.5688183, 120.9912649 14.5688129)))"
education,Manila,St. Stephen's High School,120.9777127,14.60839849,"MULTIPOLYGON (((120.9780856 14.6076999, 120.9779917 14.6075066, 120.9779619 14.6074563, 120.9779394 14.6074183, 120.9778362 14.607212, 120.9776636 14.6072828, 120.9773946 14.6074131, 120.9773829 14.6074183, 120.9772367 14.6074897, 120.9772246 14.6075844, 120.9772407 14.607905, 120.9772944 14.6081679, 120.9780856 14.6076999)), ((120.9781679 14.6093489, 120.9779252 14.6090546, 120.9780603 14.6089362, 120.9783556 14.6086774, 120.9782118 14.6085382, 120.97795 14.6082655, 120.9778681 14.608212, 120.9778325 14.6081888, 120.9777191 14.6079975, 120.9777048 14.6079746, 120.9776203 14.608016, 120.977303 14.6082162, 120.9776583 14.6097009, 120.9781679 14.6093489)))"
education,Manila,Hope Christian High School,120.9788085,14.60727351,"MULTIPOLYGON (((120.9787896 14.6065474, 120.9787759 14.6065523, 120.9782953 14.6067278, 120.9782794 14.6067349, 120.9785757 14.6074806, 120.9791061 14.6072675, 120.9787896 14.6065474)), ((120.9793711 14.6078993, 120.9793006 14.6077218, 120.9792952 14.6077026, 120.9792239 14.6075484, 120.978735 14.6077594, 120.9788372 14.6079263, 120.9788454 14.6079454, 120.9789593 14.6081398, 120.9793711 14.6078993)))"
education,Manila,Emilio Aguinaldo College,120.9867202,14.58201076,"MULTIPOLYGON (((120.9867388 14.5808698, 120.9865926 14.5811309, 120.9867949 14.581443, 120.9868079 14.581463, 120.9870666 14.5813272, 120.9872536 14.58122, 120.9869659 14.5808973, 120.9868272 14.5807417, 120.9867388 14.5808698)), ((120.9868781 14.5822475, 120.9867974 14.5823807, 120.9866592 14.5822844, 120.9865432 14.5822039, 120.9863737 14.5820864, 120.986344 14.5821034, 120.9862128 14.5819929, 120.9861605 14.5818683, 120.9859352 14.5819838, 120.9860009 14.5821058, 120.9861105 14.5822998, 120.9861464 14.5823634, 120.9860735 14.5825023, 120.9861046 14.5825254, 120.9863161 14.5826587, 120.9864702 14.5825317, 120.9866351 14.5823676, 120.9866444 14.5823741, 120.9867885 14.5824633, 120.9866583 14.5826362, 120.9866459 14.5826586, 120.9871234 14.5829877, 120.9872364 14.5827345, 120.9868982 14.5825208, 120.9869346 14.5824629, 120.9870889 14.5822409, 120.9873544 14.5823733, 120.9874268 14.5822111, 120.9870189 14.5820282, 120.9868781 14.5822475)))"
education,Manila,St. Scholastica's College,120.9964281,14.56427571,"MULTIPOLYGON (((120.9955531 14.5648572, 120.9961867 14.5651415, 120.996919 14.5654745, 120.9969766 14.565307, 120.9971946 14.5647229, 120.9975272 14.563728, 120.996058 14.5630757, 120.9952573 14.5646911, 120.9952647 14.5647242, 120.9955531 14.5648572)), ((120.9956696 14.5652182, 120.9958509 14.5652946, 120.9958837 14.5652244, 120.9959027 14.5651848, 120.9957216 14.5651061, 120.9956696 14.5652182)))"
education,Manila,Perpetual Help College of Manila,120.9883595,14.61257774,"MULTIPOLYGON (((120.988539 14.6119651, 120.9885162 14.6119672, 120.9883699 14.6121205, 120.988483 14.6122216, 120.9885947 14.6123214, 120.9887526 14.6121559, 120.988539 14.6119651)), ((120.9886263 14.6123476, 120.988501 14.6124768, 120.9886046 14.6125712, 120.9887314 14.6124436, 120.9886263 14.6123476)), ((120.9881908 14.6128025, 120.988183 14.6128108, 120.9881474 14.612779, 120.9882239 14.6126988, 120.9881139 14.6126005, 120.9880067 14.6125047, 120.9878708 14.6126443, 120.9879797 14.6127431, 120.9880882 14.6128411, 120.9881329 14.6127943, 120.9881683 14.6128265, 120.9881291 14.6128698, 120.9882329 14.6129586, 120.988295 14.6128935, 120.9881908 14.6128025)), ((120.9882907 14.6132663, 120.98821 14.6133516, 120.9883925 14.6135175, 120.9884754 14.6134327, 120.9882907 14.6132663)))"
education,Manila,National Teachers College,120.9891686,14.59803606,"MULTIPOLYGON (((120.9894632 14.5974929, 120.989456 14.5973667, 120.9891985 14.5973826, 120.9891116 14.597388, 120.9891266 14.5976164, 120.9891288 14.5976507, 120.9891285 14.5977035, 120.9890923 14.5977028, 120.9888647 14.5976971, 120.9888502 14.5976957, 120.9888512 14.5976733, 120.9887946 14.5976736, 120.9887912 14.5976483, 120.9886933 14.5976477, 120.9886947 14.5976839, 120.9886826 14.5980037, 120.9887721 14.5980068, 120.98882 14.5980104, 120.9887828 14.5985159, 120.9893927 14.5984581, 120.9894632 14.5974929)), ((120.9901167 14.5990393, 120.9901444 14.5990272, 120.9900881 14.5989234, 120.9900324 14.5988176, 120.9900099 14.5988285, 120.9898804 14.59889, 120.9899872 14.5991007, 120.9901167 14.5990393)))"
education,Manila,Espiritu Santo Parochial School,120.9832271,14.61711453,"MULTIPOLYGON (((120.9832826 14.6172362, 120.9833008 14.6172333, 120.983311 14.6169804, 120.9829304 14.6169385, 120.9828927 14.6169362, 120.9828615 14.6169428, 120.9828352 14.6169604, 120.9828191 14.6169827, 120.9828126 14.617005, 120.9828055 14.6171585, 120.9828068 14.6172374, 120.9830679 14.6172366, 120.9832826 14.6172362)), ((120.98349 14.6173514, 120.9835635 14.6173513, 120.9835632 14.6172736, 120.9835775 14.6172734, 120.9836959 14.6172714, 120.9836954 14.6172245, 120.983693 14.6170086, 120.9835595 14.6169994, 120.983525 14.616997, 120.983452 14.6169919, 120.9834532 14.6172148, 120.9834754 14.6172452, 120.98349 14.6173514)))"
education,Manila,Herminigildo J. Atienza Elementary School,120.9613768,14.59374565,"MULTIPOLYGON (((120.9617005 14.5937405, 120.9616519 14.5933162, 120.9612322 14.593359, 120.9612657 14.5936549, 120.9613918 14.5937717, 120.9617005 14.5937405)), ((120.9611349 14.5937791, 120.9611779 14.5939605, 120.9610479 14.5939879, 120.9610909 14.5942427, 120.9614596 14.5941612, 120.9613871 14.5938775, 120.9612788 14.5937415, 120.9611349 14.5937791)))"
education,Manila,UP Manila College of Arts & Sciences,120.9849323,14.57990096,"POLYGON ((120.9853831 14.5796555, 120.9853509 14.5796375, 120.9853111 14.5796153, 120.9848827 14.5793766, 120.984792 14.5795363, 120.984761 14.5795203, 120.9846428 14.5797339, 120.984744 14.5797863, 120.9846685 14.579923, 120.9846441 14.5799671, 120.9845862 14.5800717, 120.9845762 14.5800898, 120.9846006 14.5801024, 120.9845267 14.5802363, 120.9848761 14.580417, 120.9849304 14.580445, 120.9853831 14.5796555))"
